uberon_id name
UBERON:2001527 epibranchial_cartilage
UBERON:0010527 cavity_of_bone_organ
UBERON:0015215 median_arcuate_ligament
UBERON:0010526 fibularis_brevis
UBERON:0013767 frontal_process_of_maxilla
UBERON:0009552 distal_segment_of_manual_digit
UBERON:3010556 obsolete_mesodermal_cell
UBERON:0010520 head_electric_organ
UBERON:0010523 microcirculatory_vessel
UBERON:0008287 feather_vane
UBERON:2001526 hypobranchial_3_cartilage
UBERON:0010522 replacement_element
UBERON:0019326 lobe_of_lacrimal_gland
UBERON:0012488 muscle_layer_of_duodenum
UBERON:0012489 muscle_layer_of_colon
UBERON:0016920 descending_trunk_of_arch_of_aorta
UBERON:0034919 juvenile_stage
UBERON:0012480 cloacal_mucosa
UBERON:0012481 cloacal_epithelium
UBERON:0012482 submucosa_of_cloaca
UBERON:0012483 serosa_of_cloaca
UBERON:0012485 cloacal_villus
UBERON:0012486 muscle_layer_of_cloaca
UBERON:0012487 vaginal_sphincter
UBERON:0005378 olfactory_bulb_granule_cell_layer
UBERON:0005379 olfactory_bulb_internal_plexiform_layer
UBERON:0005376 olfactory_bulb_external_plexiform_layer
UBERON:0005377 olfactory_bulb_glomerular_layer
UBERON:0005374 spinal_cord_lateral_column
UBERON:0005375 spinal_cord_ventral_column
UBERON:0005372 hippocampus_stratum_radiatum
UBERON:0005373 spinal_cord_dorsal_column
UBERON:0005370 hippocampus_stratum_lacunosum
UBERON:0005371 hippocampus_stratum_oriens
UBERON:0009471 dorsum_of_tongue
UBERON:0001879 nucleus_of_diagonal_band
UBERON:0001878 septofimbrial_nucleus
UBERON:0009470 postsphenoidal_bone
UBERON:0001875 globus_pallidus
UBERON:0001874 putamen
UBERON:0001877 medial_septal_nucleus
UBERON:0001876 amygdala
UBERON:0001871 temporal_lobe
UBERON:0001870 frontal_cortex
UBERON:0001873 caudate_nucleus
UBERON:0001872 parietal_lobe
UBERON:0022957 obsolete_regional_part_of_midbrain_reticular_formation
UBERON:0009472 axilla
UBERON:0005621 rhomboid
UBERON:0009475 ampullar_siphon
UBERON:3010840 obsolete_portion_of_cell_substance
UBERON:0024234 obsolete_regional_part_of_deep_cerebellar_nuclear_complex
UBERON:0009474 ascidian_ampulla
UBERON:0002474 cerebellar_peduncular_complex
UBERON:0002475 saphenous_nerve
UBERON:0002476 lateral_globus_pallidus
UBERON:0002477 medial_globus_pallidus
UBERON:0002470 autopod_region
UBERON:0002471 zeugopod
UBERON:0002472 stylopod
