genes	predicted_functions
lgi1b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
dctn1a	uberon_0000033:5.07583590997,uberon_0009124:0.0165278748967,uberon_0001944:0.0165278748967
enosf1	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
hdac1	uberon_0000033:35.7817050586,uberon_0009124:0.0386497997584,uberon_0001944:0.0386497997584
hdac3	uberon_0000033:7.49852403615,uberon_0009124:0.0387769372576,uberon_0001944:0.0387769372576
hdac4	uberon_0000033:0.143941145415,uberon_0009124:0.00800966244994,uberon_0001944:0.00800966244994
fntb	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
hdac6	uberon_0000033:4.77911132424,uberon_0009124:0.00839107494756,uberon_0001944:0.00839107494756
six7	uberon_0000033:0.245496023416,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
cdt1	uberon_0000033:34.1019539779,uberon_0009124:0.0165278748967,uberon_0001944:0.0165278748967
nr2f2	uberon_0000033:0.287716828042,uberon_0009124:0.0101709999364,uberon_0001944:0.0101709999364
golga2	uberon_0000033:1.24788540045,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
atp6v0d1	uberon_0000033:6.55300566145,uberon_0009124:0.00559404996504,uberon_0001944:0.00559404996504
fbn2b	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
seph	uberon_0000033:14.0894894361,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
faf1	uberon_0000033:13.6703511339,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
rps27.1	uberon_0000033:203.055149804,uberon_0009124:0.03839552476,uberon_0001944:0.03839552476
dstyk	uberon_0000033:0.612294196173,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
caspa	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
mpp5a	uberon_0000033:2.22756322255,uberon_0009124:0.00432267497298,uberon_0001944:0.00432267497298
fgf4	uberon_0009124:120.9065743,uberon_0000033:0.981984093663,uberon_0001944:0.00813679994915
fgf3	uberon_0009124:460.678631926,uberon_0000033:25.0213383033,uberon_0001944:0.00432267497298
fgf2	uberon_0009124:145.135830752,uberon_0000033:20.6901372619,uberon_0001944:0.0268260123323
sema6a	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
rlbp1a	uberon_0000033:0.880172906999,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
mepce	uberon_0000033:6.82521490708,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
myh6	uberon_0000033:0.583484003396,uberon_0009124:0.0118237874261,uberon_0001944:0.0118237874261
zeb2b	uberon_0000033:0.636823083453,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
pax7a	uberon_0000033:7.50268024104,uberon_0009124:0.00521263746742,uberon_0001944:0.00521263746742
hspb7	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
dmrta2	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
fgf1a	uberon_0009124:547.972159118,uberon_0000033:3.6423635282,uberon_0001944:0.00724683745471
rfx2	uberon_0000033:0.79651855404,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
rbbp6	uberon_0000033:13.6504298142,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
znf574	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
tsc1a	uberon_0000033:6.23942700223,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
pak4	uberon_0000033:0.122392023454,uberon_0009124:0.00851821244676,uberon_0001944:0.00851821244676
grip2a	uberon_0000033:0.510101780541,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
capzb	uberon_0000033:0.00752851171243,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
rock2b	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
ahi1	uberon_0000033:22.2843027849,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
prdm5	uberon_0000033:2.59168038084,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
sncgb	uberon_0000033:0.948323273913,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
rela	uberon_0000033:5.22955934336,uberon_0009124:0.0231390248554,uberon_0001944:0.0231390248554
fut10	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
rab5c	uberon_0000033:1.02020356108,uberon_0009124:0.00330557497934,uberon_0001944:0.00330557497934
rab5b	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
fgf19	uberon_0000033:1.64317406125,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
ppp1r12a	uberon_0000033:3.34506260514,uberon_0009124:0.00750111245312,uberon_0001944:0.00750111245312
atf6	uberon_0000033:5.16963039242,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
fgf16	uberon_0000033:1.77217527792,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
diaph2	uberon_0000033:0.636823083453,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
ndc80	uberon_0000033:133.024005378,uberon_0009124:0.0227576123578,uberon_0001944:0.0227576123578
mtp	uberon_0000033:0.841904519738,uberon_0009124:0.00279702498252,uberon_0001944:0.00279702498252
upf3a	uberon_0000033:246.905326202,uberon_0009124:0.0143665374102,uberon_0001944:0.0143665374102
prnprs3	uberon_0000033:0.114614455534,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
slc12a3	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
slc12a2	uberon_0000033:0.267878710826,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
usp19	uberon_0000033:4.6964964787,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
wnt4a	uberon_0000033:11.8854937434,uberon_0009124:0.0134765749158,uberon_0001944:0.0134765749158
dachb	uberon_0000033:0.140565928244,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
tnnt3b	uberon_0000033:3.17627614265,uberon_0009124:0.010552412434,uberon_0001944:0.010552412434
tnnt3a	uberon_0000033:2.67878710826,uberon_0009124:0.00889962494438,uberon_0001944:0.00889962494438
foxn4	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
vwf	uberon_0000033:0.606875351247,uberon_0009124:0.0071196999555,uberon_0001944:0.0071196999555
foxn1	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
rspo3	uberon_0000033:0.639683557021,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
rspo2	uberon_0000033:14.057642574,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
rspo1	uberon_0000033:1.57255075257,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
sh3pxd2aa	uberon_0000033:0.904539676173,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
ccdc94	uberon_0000033:10.2778975688,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
pde1a	uberon_0000033:2.640518721,uberon_0009124:0.00877248744517,uberon_0001944:0.00877248744517
lrp5	uberon_0000033:12.7668181919,uberon_0009124:0.0113152374293,uberon_0001944:0.0113152374293
arl6ip1	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
atoh7	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
tsr2	uberon_0000033:45.6563583679,uberon_0009124:0.00432267497298,uberon_0001944:0.00432267497298
stra6	uberon_0000033:0.343843366601,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
cfl1	uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027,uberon_0000033:0.00421763105184
gemin2	uberon_0000033:4.76111384632,uberon_0009124:0.00648401245947,uberon_0001944:0.00648401245947
f3b	uberon_0000033:0.430278505168,uberon_0009124:0.00419553747378,uberon_0001944:0.00419553747378
gemin5	uberon_0000033:4.97903398098,uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027
pafah1b1a	uberon_0000033:22.5993405014,uberon_0009124:0.0312758248045,uberon_0001944:0.0312758248045
pafah1b1b	uberon_0000033:22.3898950537,uberon_0009124:0.0314029623037,uberon_0001944:0.0314029623037
sap30l	uberon_0000033:5.16963039242,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
rnf216	uberon_0000033:0.152819274045,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
mmp2	uberon_0000033:11.5557261361,uberon_0009124:0.0155107749031,uberon_0001944:0.0155107749031
nsmaf	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
prkci	uberon_0000033:1.69432669939,uberon_0009124:0.0113152374293,uberon_0001944:0.0113152374293
prkca	uberon_0000033:0.355176287485,uberon_0009124:0.0156379124023,uberon_0001944:0.0156379124023
fgfr1a	uberon_0009124:313.81056641,uberon_0000033:1.29083551551,uberon_0001944:0.0125866124213
prkcg	uberon_0000033:1.04741106051,uberon_0009124:0.00800966244994,uberon_0001944:0.00800966244994
sec63	uberon_0000033:2.27541271852,uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027
prkcz	uberon_0000033:3.520691628,uberon_0009124:0.0116966499269,uberon_0001944:0.0116966499269
col6a1	uberon_0000033:0.038185184708,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
col6a3	uberon_0000033:0.038185184708,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
col6a2	uberon_0000033:0.038185184708,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
dlx2a	uberon_0009124:711.051048595,uberon_0000033:3.19908794854,uberon_0001944:0.00559404996504
rps8a	uberon_0000033:166.178115998,uberon_0009124:0.0292416248172,uberon_0001944:0.0292416248172
nkx3.2	uberon_0000033:2.49577080089,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
rpl23a	uberon_0000033:173.205079342,uberon_0009124:0.0336914372894,uberon_0001944:0.0336914372894
iqgap2	uberon_0000033:0.408441368349,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
cntn2	uberon_0000033:0.490992046831,uberon_0009124:0.00406839997457,uberon_0001944:0.00406839997457
syt13	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
pnpla6	uberon_0000033:0.182560460915,uberon_0009124:0.00508549996822,uberon_0001944:0.00508549996822
tbx16	uberon_0000033:7.54915839538,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
skia	uberon_0000033:2.77280591228,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
skib	uberon_0000033:4.71765225771,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
rag2	uberon_0000033:12.5883400438,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
aph1b	uberon_0000033:0.954158596732,uberon_0009124:0.00572118746424,uberon_0001944:0.00572118746424
fezf1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
fezf2	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
aspm	uberon_0000033:92.3385406273,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
plod1a	uberon_0000033:1.30112516687,uberon_0009124:0.00432267497298,uberon_0001944:0.00432267497298
shox	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
hspb12	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
rps3a	uberon_0000033:144.856573377,uberon_0009124:0.0287330748204,uberon_0001944:0.0287330748204
fermt3b	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
nf2b	uberon_0000033:9.84433960771,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
h2afy2	uberon_0000033:0.555401226038,uberon_0009124:0.0111880999301,uberon_0001944:0.0111880999301
ppargc1a	uberon_0000033:3.71724872108,uberon_0009124:0.0205962748713,uberon_0001944:0.0205962748713
lims2	uberon_0000033:0.688830970695,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
nde1	uberon_0000033:35.4554491578,uberon_0009124:0.0221219248617,uberon_0001944:0.0221219248617
lims1	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
rhoua	uberon_0000033:0.273561054987,uberon_0009124:0.0209776873689,uberon_0001944:0.0209776873689
scn12aa	uberon_0000033:0.0382048185112,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
pknox1.1	uberon_0000033:0.191024092556,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
neurod4	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
rab5ab	uberon_0000033:0.558091519393,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
tnr	uberon_0000033:0.956709681521,uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013
zgc:100846	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
edar	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
hmgcrb	uberon_0000033:0.240928083881,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
hmgcra	uberon_0000033:0.0763526741577,uberon_0009124:0.00546691246583,uberon_0001944:0.00546691246583
cebpa	uberon_0000033:0.65163950503,uberon_0009124:0.00889962494438,uberon_0001944:0.00889962494438
nusap1	uberon_0000033:123.025113144,uberon_0009124:0.00902676244358,uberon_0001944:0.00902676244358
nop58	uberon_0000033:296.540266548,uberon_0009124:0.019833449876,uberon_0001944:0.019833449876
sat1b	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
nop56	uberon_0000033:294.682383094,uberon_0009124:0.01919776238,uberon_0001944:0.01919776238
fkbp4	uberon_0000033:2.49577080089,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
htt	uberon_0000033:0.0232612631027,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
rabep1	uberon_0000033:0.0108601007666,uberon_0009124:0.00368698747696,uberon_0001944:0.00368698747696
mapk8ip3	uberon_0000033:1.03324645604,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
cdh11	uberon_0000033:0.904539676173,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
cdh15	uberon_0000033:2.69435181347,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
pth1ra	uberon_0000033:0.0401301598947,uberon_0009124:0.0111880999301,uberon_0001944:0.0111880999301
dlst	uberon_0000033:2.33049392918,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
melk	uberon_0000033:53.1713595624,uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027
snx3	uberon_0000033:0.316107757971,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
iars	uberon_0000033:22.649472551,uberon_0009124:0.0069925624563,uberon_0001944:0.0069925624563
ltbp3	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
yod1	uberon_0000033:1.99161359239,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
nfyc	uberon_0000033:0.00909189510229,uberon_0009124:0.0071196999555,uberon_0001944:0.0071196999555
eaf1	uberon_0000033:0.229228911067,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
eaf2	uberon_0000033:0.229228911067,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
phf8	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
aqp11	uberon_0000033:0.382683872608,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
pou1f1	uberon_0000033:0.507583590997,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
rrp1	uberon_0000033:190.907153746,uberon_0009124:0.0128408874197,uberon_0001944:0.0128408874197
wnt11r	uberon_0000033:9.63660711162,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
tnika	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
fshb	uberon_0000033:1.24788540045,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
cd2ap	uberon_0000033:0.240928083881,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
ywhaba	uberon_0000033:2.5103032811,uberon_0009124:0.010552412434,uberon_0001944:0.010552412434
cdk5r2a	uberon_0000033:0.45922064713,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
orai1b	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
fshr	uberon_0000033:0.118750667294,uberon_0009124:0.0111880999301,uberon_0001944:0.0111880999301
pcdh10b	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
pbx4	uberon_0000033:1.78039934891,uberon_0009124:0.0047040874706,uberon_0001944:0.0047040874706
boc	uberon_0000033:5.28509834767,uberon_0009124:0.00444981247219,uberon_0001944:0.00444981247219
sox32	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
vps18	uberon_0000033:2.0588525005,uberon_0009124:0.00444981247219,uberon_0001944:0.00444981247219
znf148	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
cds2	uberon_0000033:0.206350932227,uberon_0009124:0.00521263746742,uberon_0001944:0.00521263746742
vps11	uberon_0000033:0.00724251242143,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
arrb1	uberon_0000033:6.53907711275,uberon_0009124:0.00915389994279,uberon_0001944:0.00915389994279
fbl	uberon_0000033:300.971815071,uberon_0009124:0.024156124849,uberon_0001944:0.024156124849
ca8	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
thrb	uberon_0001944:124.870785751,uberon_0000033:2.90942599238,uberon_0009124:0.00788252495073
perp	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
ppih	uberon_0000033:6.29020301029,uberon_0009124:0.00406839997457,uberon_0001944:0.00406839997457
snapc1b	uberon_0000033:2.57399661494,uberon_0009124:0.00406839997457,uberon_0001944:0.00406839997457
cep55l	uberon_0000033:25.9168038084,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
lpar6a	uberon_0000033:2.91336256531,uberon_0009124:0.0208505498697,uberon_0001944:0.0208505498697
nanos3	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
gckr	uberon_0000033:2.98742038859,uberon_0009124:0.00381412497616,uberon_0001944:0.00381412497616
ercc6	uberon_0000033:19.0870744916,uberon_0009124:0.00775538745153,uberon_0001944:0.00775538745153
lratb	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
slc25a5	uberon_0000033:9.33455080666,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
tp53	uberon_0000033:24.231640856,uberon_0009124:0.106668361833,uberon_0001944:0.106668361833
flr	uberon_0000033:0.650562583434,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
rbpjb	uberon_0000033:3.6423635282,uberon_0009124:0.00724683745471,uberon_0001944:0.00724683745471
cstf3	uberon_0000033:36.8398057868,uberon_0009124:0.0186892123832,uberon_0001944:0.0186892123832
per3	uberon_0000033:1.45419871591,uberon_0009124:0.0048312249698,uberon_0001944:0.0048312249698
per2	uberon_0000033:0.421697784731,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
tbx1	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
tbx6	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
cish	uberon_0000033:0.994978068781,uberon_0009124:0.00330557497934,uberon_0001944:0.00330557497934
tbx4	uberon_0009124:559.823208496,uberon_0000033:0.535757421652,uberon_0001944:0.00177992498888
cables1	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
cad	uberon_0000033:64.437161042,uberon_0009124:0.0465323247092,uberon_0001944:0.0465323247092
gnl3	uberon_0000033:305.79253774,uberon_0009124:0.0200877248745,uberon_0001944:0.0200877248745
gnl2	uberon_0000033:210.845709834,uberon_0009124:0.0147479499078,uberon_0001944:0.0147479499078
kcnj11	uberon_0000033:0.45922064713,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
smarcd1	uberon_0000033:5.71834392675,uberon_0009124:0.00597546246265,uberon_0001944:0.00597546246265
tsen54	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
snrnp70	uberon_0000033:27.2208153248,uberon_0009124:0.0186892123832,uberon_0001944:0.0186892123832
tal1	uberon_0000033:0.00724251242143,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
gh1	uberon_0000033:3.33038960935,uberon_0009124:0.00750111245312,uberon_0001944:0.00750111245312
tal2	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
polr1a	uberon_0000033:186.290794993,uberon_0009124:0.0300044498125,uberon_0001944:0.0300044498125
hapln1b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
tnni1b	uberon_0000033:0.63974069204,uberon_0009124:0.00724683745471,uberon_0001944:0.00724683745471
usp28	uberon_0000033:7.97704728599,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
usp25	uberon_0000033:5.93832893767,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
usp24	uberon_0000033:5.16963039242,uberon_0009124:0.00152564999046,uberon_0001944:0.00152564999046
atoh1b	uberon_0000033:0.382683872608,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
atoh1a	uberon_0000033:2.0588525005,uberon_0009124:0.00444981247219,uberon_0001944:0.00444981247219
usp20	uberon_0000033:0.152819274045,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
pax6a	uberon_0000033:6.3221758981,uberon_0009124:0.0174178373911,uberon_0001944:0.0174178373911
pax6b	uberon_0009124:63.0195158688,uberon_0000033:8.76170409444,uberon_0001944:0.0153836374039
slbp	uberon_0000033:63.5780529929,uberon_0009124:0.0111880999301,uberon_0001944:0.0111880999301
rbfox2	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
rbfox1	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
spop	uberon_0000033:0.172593178647,uberon_0009124:0.00495836246901,uberon_0001944:0.00495836246901
max	uberon_0000033:14.0063802117,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
sp2	uberon_0000033:0.0764096370224,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
cltca	uberon_0000033:0.0378297701256,uberon_0009124:0.0120780624245,uberon_0001944:0.0120780624245
foxi1	uberon_0000033:1.24788540045,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
lzic	uberon_0000033:0.0382048185112,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
med29	uberon_0000033:0.134448626183,uberon_0009124:0.0123323374229,uberon_0001944:0.0123323374229
adcy5	uberon_0000033:8.96226116577,uberon_0009124:0.0114423749285,uberon_0001944:0.0114423749285
optn	uberon_0000033:14.4176772348,uberon_0009124:0.0139851249126,uberon_0001944:0.0139851249126
med23	uberon_0000033:0.416431858673,uberon_0009124:0.0124594749221,uberon_0001944:0.0124594749221
col22a1	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
kif3cb	uberon_0000033:0.550404564601,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
med24	uberon_0000033:0.359646035052,uberon_0009124:0.0127137499205,uberon_0001944:0.0127137499205
pax5	uberon_0000033:0.103529420164,uberon_0009124:0.00457694997139,uberon_0001944:0.00457694997139
pax4	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
ap1s1	uberon_0000033:0.18401622133,uberon_0009124:0.00508549996822,uberon_0001944:0.00508549996822
pin1	uberon_0000033:19.5414913044,uberon_0009124:0.00508549996822,uberon_0001944:0.00508549996822
pax9	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
fgf10a	uberon_0009124:229.342557969,uberon_0000033:11.1963484381,uberon_0001944:0.00864534994597
fgf10b	uberon_0009124:638.087862391,uberon_0000033:2.40779725688,uberon_0001944:0.00622973746106
otx1b	uberon_0000033:0.765367745216,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
ccdc65	uberon_0000033:0.497489034391,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
gfi1aa	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
eif3ha	uberon_0000033:246.590019401,uberon_0009124:0.0165278748967,uberon_0001944:0.0165278748967
eif3hb	uberon_0000033:238.46655781,uberon_0009124:0.0155107749031,uberon_0001944:0.0155107749031
st8sia3	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
st8sia2	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
drd4a	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
ttk	uberon_0000033:98.6933112003,uberon_0009124:0.00978958743882,uberon_0001944:0.00978958743882
rlbp1b	uberon_0000033:0.535757421652,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
lsr	uberon_0000033:2.00091145881,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
ahr2	uberon_0000033:2.22841077604,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
ncaph	uberon_0000033:102.784746885,uberon_0009124:0.00381412497616,uberon_0001944:0.00381412497616
ncapg	uberon_0000033:148.107787187,uberon_0009124:0.0122051999237,uberon_0001944:0.0122051999237
dmbx1b	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
atp7a	uberon_0000033:0.497489034391,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
nbeal2	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
apex1	uberon_0000033:3.18411541727,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
svila	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
ahrrb	uberon_0000033:1.42473451324,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
sec13	uberon_0000033:26.6093344497,uberon_0009124:0.0189434873816,uberon_0001944:0.0189434873816
mbtps1	uberon_0000033:3.75643303935,uberon_0009124:0.00343271247855,uberon_0001944:0.00343271247855
camk2a	uberon_0000033:0.482517822388,uberon_0009124:0.0108066874325,uberon_0001944:0.0108066874325
zfand3	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
scn1bb	uberon_0000033:0.507583590997,uberon_0009124:0.00165278748967,uberon_0001944:0.00165278748967
dab2	uberon_0000033:0.765367745216,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
