genes	predicted_functions
nog3	uberon_0000033:1.91689750169,uberon_0009124:0.00673828745789,uberon_0001944:0.00673828745789
prmt8b	uberon_0000033:22.1168386639,uberon_0009124:0.00584832496345,uberon_0001944:0.00584832496345
bbs12	uberon_0000033:30.4300129666,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
taok2b	uberon_0000033:13.6504298142,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
rfc4	uberon_0000033:39.0157222601,uberon_0009124:0.00902676244358,uberon_0001944:0.00902676244358
pax2a	uberon_0000033:0.674764508901,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
eve1	uberon_0000033:0.420952259869,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
clip1a	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
rnf170	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
lnx2b	uberon_0000033:11.1421513925,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
arrb2a	uberon_0000033:11.3853109822,uberon_0009124:0.0069925624563,uberon_0001944:0.0069925624563
arrb2b	uberon_0000033:9.63660711162,uberon_0009124:0.00762824995232,uberon_0001944:0.00762824995232
dctn2	uberon_0000033:12.1980597637,uberon_0009124:0.0115695124277,uberon_0001944:0.0115695124277
rpgrip1l	uberon_0000033:11.2244101974,uberon_0009124:0.000889962494438,uberon_0001944:0.000889962494438
ippk	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
wwp2	uberon_0009124:0.00317843748013,uberon_0001944:0.00317843748013,uberon_0000033:0.00195885095578
crb2a	uberon_0000033:7.10505004864,uberon_0009124:0.0024156124849,uberon_0001944:0.0024156124849
crb2b	uberon_0000033:2.49577080089,uberon_0009124:0.0022884749857,uberon_0001944:0.0022884749857
lbx2	uberon_0000033:11.1421513925,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
noc3l	uberon_0000033:222.025829853,uberon_0009124:0.0156379124023,uberon_0001944:0.0156379124023
kcnip1a	uberon_0000033:6.82521490708,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
ndr1	uberon_0000033:8.50668070103,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
slc2a11b	uberon_0000033:0.0382683872608,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
uba5	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
tbx2a	uberon_0000033:0.382683872608,uberon_0009124:0.00127137499205,uberon_0001944:0.00127137499205
tbx2b	uberon_0000033:1.42473451324,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
dync2li1	uberon_0000033:0.344415485347,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
ufd1l	uberon_0000033:0.161134301903,uberon_0009124:0.00495836246901,uberon_0001944:0.00495836246901
atp1a2a	uberon_0000033:1.78101312979,uberon_0009124:0.00266988748331,uberon_0001944:0.00266988748331
