function	number_of_genes	ROC_auc	PR_auc
uberon_0002407	678	0.610307698	0.333548995
uberon_0010285	1	0.49321171	0.000212044
uberon_2005317	6	0.481308411	0.000848176
uberon_0004490	11	0.6325822	0.01356685
uberon_0003299	1	0.497242257	0.000212044
uberon_2001511	7	0.986570336	0.120960769
uberon_0009848	3	0.490658174	0.000636132
uberon_2001517	5	0.485774947	0.000636132
uberon_2001516	84	0.638672884	0.064627975
uberon_2005039	2	0	0
uberon_2001519	8	0.477040816	0.001272265
uberon_0006603	7	0.737043331	0.032836329
uberon_0001021	14	0.983910288	0.136191753
uberon_0003061	31	0.642726494	0.025463422
uberon_0003060	50	0.619170441	0.072094588
uberon_2000156	1	0.498727196	0.000212044
uberon_0010314	284	0.565915779	0.076364965
uberon_0002213	2	0.992572156	0.257156489
uberon_0010202	8	0.688612748	0.030951532
uberon_0010205	2	0.497878659	0.000212044
uberon_0010204	7	0.644168084	0.016493493
uberon_0001894	38	0.474024765	0.008399382
uberon_0002166	1	0.492151039	0.000212044
uberon_0011150	11	0.511666768	0.003296556
uberon_0011152	1	0.499363598	0.000212044
uberon_0011153	4	0.718935854	0.010508212
uberon_2001157	18	0.681248224	0.015140116
uberon_2001156	1	0	0
uberon_0002405	2	0	0
uberon_2005044	1	0.496393721	0.000212044
uberon_0004535	3	0.482590234	0.000636132
uberon_0004536	40	0.724535679	0.054351253
uberon_0004537	19	0.526552272	0.006316592
uberon_0004530	5	0.488525287	0.001060221
uberon_0019291	1	0.493635978	0.000212044
uberon_0001787	38	0.677753965	0.056994824
uberon_0002065	34	0.63776421	0.046122082
uberon_0001646	1	0.48175647	0.000212044
uberon_2000857	4	0.488539898	0.000424088
uberon_0005327	2	0.498514431	0.000424088
uberon_0005325	64	0.62131431	0.059077028
uberon_0005322	1	0.497878659	0.000212044
uberon_0012275	341	0.611884149	0.180528004
uberon_0006914	3	0.491719745	0.000636132
uberon_0001015	19	0.491295117	0.000636132
uberon_0005281	147	0.599229952	0.063154769
uberon_0015238	4	0.814012739	0.017596053
uberon_0005283	2	0.495120916	0.000212044
uberon_0002067	5	0.488535032	0.000636132
uberon_0002062	10	0.464027246	0.001908397
uberon_0002063	18	0.608361775	0.062178852
uberon_0002107	350	0.691952167	0.296729049
uberon_0002106	3	0.493842887	0.000636132
uberon_0002105	1	0.499363598	0.000212044
uberon_0002104	2	0.497241087	0.000424088
uberon_0010371	8	0.652352608	0.044736943
uberon_0002100	481	0.605145406	0.248951879
uberon_0000467	182	0.688345701	0.084296317
uberon_0000464	51	0.511967284	0.017036499
uberon_0006595	1	0	0
uberon_0002318	1	0.487271956	0.000212044
uberon_0006597	9	0.492356688	0.000636132
uberon_0006598	1	0	0
uberon_0002317	1	0.493635978	0.000212044
uberon_2000627	1	0.49893933	0.000212044
uberon_0002315	1	0.487271956	0.000212044
uberon_0000468	1663	0.569586908	0.478567074
uberon_2000676	12	0.494477485	0.000848176
uberon_0002081	104	0.571765395	0.076931901
uberon_0002087	21	0.661281001	0.068583879
uberon_0007284	1	0.490453967	0.000212044
uberon_0002082	154	0.623783179	0.12146591
uberon_0009881	4	0.494057725	0.000424088
uberon_2001129	2	0.487903226	0.000424088
uberon_2000673	1	0.497030123	0.000212044
uberon_0001807	1	0.487059822	0.000212044
uberon_0000061	105	0.590780218	0.076393057
uberon_0001803	6	0.477688058	0.001060221
uberon_0001802	1	0.497666525	0.000212044
uberon_0001801	2	0.485144312	0.000424088
uberon_2005320	1	0	0
uberon_0005523	3	0.492144374	0.000636132
uberon_0006860	134	0.581103197	0.05974832
uberon_0008904	55	0.487084047	0.011352596
uberon_0001708	213	0.641037083	0.094491631
uberon_0016545	3	0.830219391	0.242158823
uberon_0003496	28	0.565349003	0.029807246
uberon_0000204	1	0.49893933	0.000212044
uberon_0001989	1	0.496817989	0.000212044
uberon_0003499	3	0.467091295	0.000636132
uberon_0001982	2	0.479414261	0.000424088
uberon_0011683	2	0.488964346	0.000424088
uberon_0001981	5	0.493633277	0.000424088
uberon_2007047	1	0.498727196	0.000212044
uberon_0011634	1	0.49893933	0.000212044
uberon_2007045	4	0.486830926	0.000848176
uberon_0007567	1	0.499363598	0.000212044
uberon_2007048	2	0.484083192	0.000424088
uberon_0003544	1	0.499787866	0.000212044
uberon_0007844	15	0.441865417	0.002120441
uberon_2001230	28	0.491925202	0.001060221
uberon_0002214	5	0.482590234	0.000636132
uberon_2000411	6	0.680705482	0.016657542
uberon_2001237	1	0.49893933	0.000212044
uberon_2001239	13	0.650319829	0.091503273
uberon_0004247	2	0.498726655	0.000424088
uberon_2002224	2	0.496816638	0.000424088
uberon_0007126	1	0.499575732	0.000212044
uberon_2005032	1	0.484089945	0.000212044
uberon_0006283	5	0.480237994	0.001060221
uberon_0004493	1	0.499575732	0.000212044
uberon_2005036	1	0.491514637	0.000212044
uberon_0007127	1	0.499575732	0.000212044
uberon_0005511	7	0.494260204	0.001272265
uberon_0003861	5	0.49617672	0.000848176
uberon_0000930	4	0.46728972	0.000848176
uberon_0007280	1	0.496605855	0.000212044
uberon_0007287	1	0.5	0.000212044
uberon_0007285	1	0.495120916	0.000212044
uberon_0002465	19	0.496181587	0.000212044
uberon_0000966	209	0.63747584	0.10885689
uberon_0000965	126	0.66018105	0.070054839
uberon_0000964	10	0.64202261	0.097094151
uberon_0003599	1	0.49893933	0.000212044
uberon_0003117	2	0.47983871	0.000424088
uberon_0006322	2	0.493845501	0.000424088
uberon_0001637	1	0	0
uberon_0001707	3	0	0
uberon_0006857	6	0.477050574	0.001060221
uberon_2007036	1	0	0
uberon_0001633	4	0.725201784	0.01316788
uberon_2001425	3	0.496604414	0.000424088
uberon_0006856	4	0.819815994	0.028346832
uberon_2007032	1	0.486211286	0.000212044
uberon_0003058	4	0.489384289	0.000636132
uberon_0004852	3	0.497664544	0.000636132
uberon_0005519	6	0.486819728	0.001272265
uberon_2001420	1	0	0
uberon_2001340	1	0.498302927	0.000212044
uberon_0007329	9	0.61530048	0.019201051
uberon_0004141	131	0.72293846	0.165573374
uberon_0007215	24	0.752694611	0.096775282
uberon_2001073	51	0.733268097	0.072843486
uberon_0004880	10	0.681282815	0.01789109
uberon_2001347	1	0.491090369	0.000212044
uberon_0000152	12	0.492984694	0.001272265
uberon_2005101	1	0	0
uberon_0015241	9	0.749194871	0.044256206
uberon_0005911	39	0.666003869	0.034104463
uberon_0002410	5	0.473460722	0.000636132
uberon_0002682	6	0.687972801	0.029180521
uberon_0001681	1	0	0
uberon_2001640	1	0.494060246	0.000212044
uberon_0005087	1	0.498302927	0.000212044
uberon_0005362	11	0.690959445	0.035501566
uberon_0004867	1	0.499363598	0.000212044
uberon_0004864	1	0.496393721	0.000212044
uberon_2001521	7	0.480662983	0.001060221
uberon_2001524	1	0	0
uberon_0001774	61	0.774403742	0.145435121
uberon_2000068	1	0.497878659	0.000212044
uberon_0001017	269	0.801989166	0.328770791
uberon_0005500	2	0.49172326	0.000424088
uberon_0003085	3	0.491719745	0.000636132
uberon_0003084	12	0.575398515	0.009435859
uberon_0002228	1	0.498727196	0.000212044
uberon_0003086	9	0.487026797	0.001484309
uberon_0003081	20	0.577991567	0.046381426
uberon_2007001	1	0.487696224	0.000212044
uberon_0002145	2	0.997453311	0.146045377
uberon_0003082	67	0.678125577	0.128901245
uberon_0002222	3	0.826680821	0.094127388
uberon_0002148	6	0.672503187	0.012443724
uberon_0003089	3	0.499363598	0.000212044
uberon_0003088	25	0.642384812	0.058012164
uberon_0002352	8	0.494906621	0.000424088
uberon_0002351	2	0.492999576	0.000212044
uberon_2001286	53	0.560887619	0.044092291
uberon_0003351	25	0.55294397	0.012784416
uberon_0002358	1	0.495757319	0.000212044
uberon_0005886	216	0.697235765	0.09257369
uberon_0010042	2	0.990874363	0.255893862
uberon_0006965	1	0.498515062	0.000212044
uberon_2000602	2	0	0
uberon_2000608	2	0.495967742	0.000424088
uberon_0003922	14	0.683290708	0.063745264
uberon_0001842	3	0.493208829	0.000424088
uberon_0001841	3	0.493208829	0.000424088
uberon_0003921	10	0.770591993	0.037750313
uberon_0003926	26	0.61349512	0.089171124
uberon_0001846	158	0.559172078	0.059199346
uberon_0003924	3	0.467303609	0.000636132
uberon_0005563	1	0.492363174	0.000212044
uberon_0003936	29	0.778216888	0.087150239
uberon_0005569	1	0.49893933	0.000212044
uberon_0005428	2	0.497877759	0.000424088
uberon_0009494	1	0.49893933	0.000212044
uberon_0002037	71	0.664921733	0.065644059
uberon_2001481	1	0.497030123	0.000212044
uberon_2007051	4	0.807218684	0.012577269
uberon_0001230	4	0	0
uberon_0000089	8	0.727359694	0.030369012
uberon_2000240	2	0.498089983	0.000424088
uberon_2001483	1	0.498090793	0.000212044
uberon_0000080	28	0.715976166	0.182825802
uberon_2001522	4	0.482165605	0.000636132
uberon_2000364	4	0.498302207	0.000424088
uberon_2000363	1	0	0
uberon_2001324	1	0.497242257	0.000212044
uberon_0001602	4	0.480883602	0.000848176
uberon_2005026	1	0.499151464	0.000212044
uberon_0002005	3	0.47983871	0.000424088
uberon_0002133	23	0.638540594	0.021184729
uberon_0006859	2	0.483870968	0.000424088
uberon_0034969	23	0.638712	0.084856308
uberon_2005072	4	0.483007647	0.000848176
uberon_2005073	2	0	0
uberon_2000692	8	0.609193656	0.012135046
uberon_2001821	9	0.723768054	0.01279759
uberon_0004362	23	0.634401709	0.033457455
uberon_2005078	1	0.499575732	0.000212044
uberon_2005079	1	0.499575732	0.000212044
uberon_2000694	16	0.684593917	0.067882488
uberon_0001833	1	0	0
uberon_0000033	929	0.66763692	0.469206265
uberon_2000098	27	0.588778206	0.014665407
uberon_0001715	2	0.493635978	0.000212044
uberon_0001714	7	0.473024639	0.000848176
uberon_0001305	1	0.499363598	0.000212044
uberon_0018649	11	0.469162059	0.001484309
uberon_0000920	5	0.49277825	0.000848176
uberon_0003929	7	0.46832483	0.001272265
uberon_0000925	21	0.659346182	0.020870408
uberon_0000924	7	0.830219391	0.242158823
uberon_0011648	14	0.709791701	0.030824741
uberon_2005017	7	0.659438776	0.108024102
uberon_0003509	4	0.872663551	0.19429417
uberon_2001463	37	0.558081424	0.035733124
uberon_4000176	7	0.748406967	0.279835853
uberon_0004745	10	0.689820727	0.023362235
uberon_0005330	68	0.674698172	0.077483127
uberon_2001302	1	0.499363598	0.000212044
uberon_2001303	1	0.499363598	0.000212044
uberon_2001300	1	0.490878235	0.000212044
uberon_0004753	6	0.46960034	0.001272265
uberon_2001269	6	0.497030123	0.000212044
uberon_2001304	1	0.499363598	0.000212044
uberon_0003517	1	0	0
uberon_4000170	3	0.499363598	0.000212044
uberon_2001240	1	0.49893933	0.000212044
uberon_0003513	126	0.627460762	0.078827437
uberon_2001263	1	0	0
uberon_0004755	3	0.493205945	0.000636132
uberon_2000855	1	0.498727196	0.000212044
uberon_2000854	1	0.498727196	0.000212044
uberon_0001782	99	0.720525716	0.181202935
uberon_2000856	1	0.498727196	0.000212044
uberon_0003100	8	0.626511515	0.03439365
uberon_0003101	4	0.492356688	0.000636132
uberon_2000853	1	0.498727196	0.000212044
uberon_2000852	2	0.49278438	0.000424088
uberon_0001788	1	0.49893933	0.000212044
uberon_2001097	1	0.499363598	0.000212044
uberon_4000173	3	0.498727196	0.000212044
uberon_2000859	4	0.498302207	0.000424088
uberon_2000858	1	0.498727196	0.000212044
uberon_0011242	73	0.63452381	0.082505437
uberon_4000164	178	0.538488803	0.073020131
uberon_0003103	292	0.645450106	0.177899665
uberon_0002481	3	0.488752122	0.000424088
uberon_0002270	1	0.497454391	0.000212044
uberon_0000083	99	0.674547504	0.1777484
uberon_0006569	1	0.493635978	0.000212044
uberon_0001155	5	0.516617085	0.002372567
uberon_0000959	7	0.891882703	0.110645281
uberon_0000957	110	0.631478561	0.113979469
uberon_0001013	2	0.496181587	0.000212044
uberon_2001520	4	0.48895966	0.000636132
uberon_0001016	500	0.748234363	0.314944804
uberon_0005598	389	0.634828768	0.261613857
uberon_0004865	2	0.492151039	0.000212044
uberon_2001419	1	0	0
uberon_2000851	2	0.49278438	0.000424088
uberon_0000484	1	0.495757319	0.000212044
uberon_2000975	2	0.49278438	0.000424088
uberon_2000157	1	0.498727196	0.000212044
uberon_0001891	102	0.619172621	0.051397634
uberon_0013765	173	0.630732504	0.065703336
uberon_0004703	3	0.487685775	0.000636132
uberon_2001525	1	0	0
uberon_0001843	3	0.492993631	0.000636132
uberon_2002200	9	0.481702128	0.001696353
uberon_0001701	4	0.479396771	0.000848176
uberon_0002559	1	0.49427238	0.000212044
uberon_2005316	2	0.482597623	0.000424088
uberon_0002418	1	0.49893933	0.000212044
uberon_0004290	1	0.497666525	0.000212044
uberon_0000483	1	0.498515062	0.000212044
uberon_2005269	2	0.499363598	0.000212044
uberon_0005729	5	0.47982158	0.000848176
uberon_0011299	5	0.485768904	0.000848176
uberon_0003073	1	0	0
uberon_0001985	2	0.485144312	0.000424088
uberon_2000730	1	0.498727196	0.000212044
uberon_2000384	3	0.498089983	0.000424088
uberon_2000732	4	0.488539898	0.000424088
uberon_2000733	1	0.498727196	0.000212044
uberon_0001093	2	0.492996604	0.000424088
uberon_0005724	2	0	0
uberon_0005725	2	0.499575732	0.000212044
uberon_0002443	2	0.491298812	0.000424088
uberon_0003078	1	0.491302503	0.000212044
uberon_0003079	33	0.90727156	0.132694193
uberon_0003075	29	0.624080583	0.076353853
uberon_0003076	3	0.474522293	0.000636132
uberon_0009615	1	0.499787866	0.000212044
uberon_0002457	18	0.834321683	0.129220081
uberon_0003066	22	0.566085383	0.015576725
uberon_0003072	13	0.610839012	0.016287058
uberon_0011087	1	0.488120492	0.000212044
