function	number_of_genes	ROC_auc	PR_auc	name
uberon_2000040	36	0.735001533	0.202386416	median_fin_fold
uberon_0015212	67	0.587534592	0.032269789	lateral_structure
uberon_0003069	29	0.892028546	0.15715083	otic_placode
uberon_0002064	17	0.459752981	0.002120441	common_cardinal_vein
uberon_0003063	21	0.676507597	0.106683475	prechordal_plate
uberon_0003062	19	0.621256356	0.052095806	primitive_knot
uberon_0010313	696	0.556275908	0.146497526	neural_crest-derived_structure
uberon_0010312	11	0.477669077	0.001484309	immature_eye
uberon_0002165	11	0.597712766	0.02209792	endocardium
uberon_0005945	29	0.479287853	0.015296432	neurocranial_trabecula
uberon_2000058	12	0.603643617	0.086253282	polster
uberon_0000044	18	0.670559291	0.018275548	dorsal_root_ganglion
uberon_0004739	56	0.600635209	0.060350804	pronephric_glomerulus
uberon_0000042	675	0.611931535	0.334099563	serous_membrane
uberon_0003831	24	0.672946963	0.030678919	respiratory_system_muscle
uberon_0000165	40	0.58881391	0.01777543	mouth
uberon_0000160	59	0.631630473	0.040140273	intestine
uberon_0006800	142	0.689591347	0.17972271	anatomical_line
uberon_0004253	24	0.672946963	0.030678919	skin_muscle
uberon_0002422	136	0.747410962	0.225957928	fourth_ventricle
uberon_0005412	27	0.576380225	0.037047293	optic_fissure
uberon_0011611	10	0.480212766	0.001696353	ceratohyal_bone
uberon_0011610	168	0.603231028	0.119226844	ceratohyal_cartilage
uberon_0011615	31	0.637903609	0.047069941	basihyal_cartilage
uberon_0003338	56	0.581641469	0.035965634	ganglion_of_peripheral_nervous_system
uberon_0002412	18	0.601840011	0.067783811	vertebra
uberon_0000463	185	0.533634713	0.060742633	organism_substance
uberon_0001032	194	0.661413043	0.084797461	sensory_system
uberon_2000940	49	0.71979798	0.034516804	posterior_lateral_line_neuromast
uberon_0001905	13	0.660127048	0.012667855	pineal_body
uberon_0001264	94	0.615383097	0.041765653	pancreas
uberon_0001049	57	0.675345727	0.078005026	neural_tube
uberon_2005034	21	0.574297274	0.028436411	parachordal_vessel
uberon_0018549	11	0.477650064	0.001908397	ventral_wall_of_dorsal_aorta
uberon_0002616	143	0.616862173	0.087387331	regional_part_of_brain
uberon_0002110	12	0.72689523	0.06415017	gall_bladder
uberon_0003051	91	0.63270619	0.090054647	ear_vesicle
uberon_0002291	27	0.721582836	0.068261372	central_canal_of_spinal_cord
uberon_0001133	17	0.62231813	0.0184985	cardiac_muscle_tissue
uberon_0004741	13	0.700465331	0.022009171	cleithrum
uberon_2000001	72	0.667559968	0.096564909	kupffer's_vesicle
uberon_2000006	30	0.762386199	0.114908434	ball
uberon_0001789	34	0.607839347	0.047129457	outer_nuclear_layer_of_retina
uberon_0002200	57	0.627071793	0.034909824	vasculature_of_head
uberon_0002201	29	0.618015082	0.031051167	vasculature_of_trunk
uberon_0002203	13	0.634593182	0.101029695	vasculature_of_eye
uberon_2001069	40	0.657280809	0.177416214	ventral_fin_fold
uberon_0007135	13	0.662478705	0.016935862	neural_keel
uberon_0007134	17	0.656099034	0.01693693	trunk_ganglion
uberon_0004119	514	0.557303929	0.129041335	endoderm-derived_structure
uberon_0004117	13	0.616588586	0.023227944	pharyngeal_pouch
uberon_0003901	23	0.629243168	0.065578662	horizontal_septum
uberon_0003902	32	0.567843713	0.016683457	retinal_neural_layer
uberon_2001089	34	0.577788956	0.050988228	myoseptum
uberon_0005291	89	0.571099446	0.042183636	embryonic_tissue
uberon_0006925	26	0.643529605	0.019090671	digestive_gland
uberon_0002050	38	0.671508292	0.082411744	embryonic_structure
uberon_0001555	288	0.746611054	0.326432884	digestive_tract
uberon_0008823	805	0.624155073	0.278690734	neural_tube_derived_brain
uberon_0000491	351	0.691952167	0.296729049	solid_compound_organ
uberon_0007679	20	0.581101614	0.027309436	intersomitic_vein
uberon_2000476	12	0.477475563	0.001060221	branchiostegal_ray
uberon_0007635	30	0.691202665	0.050774816	nucleus_of_medulla_oblongata
uberon_0000019	1097	0.656802519	0.475885569	camera-type_eye
uberon_0000017	62	0.735557477	0.072803596	exocrine_pancreas
uberon_0000016	23	0.667960589	0.045477939	endocrine_pancreas
uberon_0005515	13	0.679418869	0.094692161	rhombomere_5
uberon_0011944	36	0.614574851	0.02046003	subintestinal_vein
uberon_0006284	18	0.680268985	0.021569625	early_prosencephalic_vesicle
uberon_0000151	172	0.664995609	0.110769426	pectoral_fin
