zfin_id	gene_name	ensemble_id	uberon_annotations
zdb-gene-070117-836	unm_s426	not_found	uberon_0000948,uberon_0000489
zdb-gene-070117-837	unm_s433	not_found	uberon_0000948,uberon_0000489
zdb-gene-050417-80	ascc1	ensdarg00000077760	uberon_0010313
zdb-gene-070112-1682	vgll4l	ensdarg00000068409	uberon_0000477,uberon_0003932,uberon_0011610,uberon_0000480,uberon_0003406,uberon_0004119,uberon_0003278,uberon_2001516,uberon_0003103,uberon_0013765
zdb-gene-040426-1178	prkcbb	ensdarg00000022254	uberon_0000033,uberon_0000489,uberon_0000019,uberon_0004120
zdb-gene-070117-1203	unm_t30611	not_found	uberon_0003278,uberon_0000480,uberon_0000477,uberon_0004119
zdb-gene-070117-1202	unm_t30441	not_found	uberon_0003278,uberon_0000480,uberon_0000477,uberon_0004119
zdb-gene-070117-1201	unm_t30362	not_found	uberon_0000477,uberon_0000480,uberon_0003278,uberon_0004119
zdb-gene-070117-1200	unm_t30361	not_found	uberon_0003278,uberon_0000480,uberon_0000477,uberon_0004119
zdb-gene-040426-850	josd2	ensdarg00000057626	uberon_0005598,uberon_0000042,uberon_0002407,uberon_0000468,uberon_0002328,uberon_0000033,uberon_0007812,uberon_0001945,uberon_0010314,uberon_0012275
zdb-gene-070117-1206	unm_t30471	not_found	uberon_0005177,uberon_0000991,uberon_0000489
zdb-gene-070117-1205	unm_t30313	not_found	uberon_0005177,uberon_0000992,uberon_0000489
zdb-gene-070117-1204	unm_t30474	not_found	uberon_0005177,uberon_0015212,uberon_0000489,uberon_0000473
zdb-gene-070117-1209	unm_t30660	not_found	uberon_0004120
zdb-gene-070117-1208	unm_t30331	not_found	uberon_0004120
zdb-gene-040426-858	wwox	ensdarg00000007614	uberon_0002407,uberon_0000019,uberon_0000468,uberon_0000042,uberon_0000489
zdb-gene-010601-1	vars	ensdarg00000044575	uberon_0001555,uberon_0002407,uberon_0000042,uberon_0000491,uberon_0000480,uberon_2000084,uberon_0000948,uberon_0000033,uberon_0000019,uberon_0002107,uberon_0005057,uberon_0000489
zdb-gene-040426-2227	nfkbiaa	ensdarg00000005481	uberon_0000078,uberon_0010313
zdb-gene-030131-4581	nup153	ensdarg00000099972	uberon_0003524,uberon_0014907,uberon_0003513,uberon_0000481
zdb-gene-030131-4631	ttpa	ensdarg00000027584	uberon_0000467,uberon_0000480,uberon_0000481,uberon_0000468,uberon_0004121,uberon_0010323,uberon_0007812,uberon_0010312,uberon_0001434
zdb-gene-091023-9	not_found	not_found	uberon_2005025,uberon_0014907,uberon_0000481
zdb-gene-061013-343	lpar6a	ensdarg00000062552	uberon_0002407,uberon_0000042,uberon_0003513,uberon_0000468,uberon_0003524,uberon_2000084,uberon_0014907
zdb-gene-030131-8783	cdc42	ensdarg00000044573	uberon_0001231,uberon_0002407,uberon_0000083,uberon_0000957,uberon_0008823,uberon_0005325,uberon_0000019,uberon_0001792,uberon_0001791,uberon_2001286,uberon_0000480,uberon_0006553,uberon_0000966,uberon_0005330,uberon_0000042,uberon_0003102,uberon_0001789,uberon_0000073,uberon_4000164
zdb-gene-030131-1033	agrn	ensdarg00000079388	uberon_0003052,uberon_0003051,uberon_0002407,uberon_0001700,uberon_0000957,uberon_0007635,uberon_0003714,uberon_0005598,uberon_0012275,uberon_0000019,uberon_0001792,uberon_0015178,uberon_0002633,uberon_0003338,uberon_0003351,uberon_0004117,uberon_0000489,uberon_0000480,uberon_0000468,uberon_0006984,uberon_0007812,uberon_0000941,uberon_0000042,uberon_0006800,uberon_0001785
zdb-gene-070117-1413	unm_t30610	not_found	uberon_0000475,uberon_0010313,uberon_0003103,uberon_0007380,uberon_0004120
zdb-gene-030131-6989	ebna1bp2	ensdarg00000054980	uberon_0002407,uberon_0000042,uberon_0002028,uberon_0000468,uberon_2000084,uberon_0000033,uberon_0000019,uberon_0008823,uberon_2000106,uberon_0002422,uberon_0002100
zdb-gene-040704-64	htra1a	ensdarg00000032831	uberon_0005598,uberon_0002407,uberon_0000042,uberon_0000468,uberon_2001594,uberon_4000164,uberon_0012275
zdb-gene-080219-32	ppp4cb	ensdarg00000076439	uberon_0000468
zdb-gene-040704-69	pak4	ensdarg00000018110	uberon_0003481,uberon_0003933,uberon_0002407,uberon_0000489,uberon_0012275,uberon_0000019,uberon_0003513,uberon_0000042,uberon_0000033,uberon_0000178,uberon_0007679,uberon_0005598
zdb-gene-030131-6986	ncl	ensdarg00000002710	uberon_0001555,uberon_0003052,uberon_0002407,uberon_0000019,uberon_0000491,uberon_0000480,uberon_0000042,uberon_0000178,uberon_0006800,uberon_0000948,uberon_0000033,uberon_0002107,uberon_0001017,uberon_0002082,uberon_0000489,uberon_0001016,uberon_0005057
zdb-gene-040419-2	mtp	ensdarg00000008637	uberon_0000479,uberon_0003513,uberon_0000481,uberon_0000468,uberon_0003524,uberon_0011944,uberon_0014907
zdb-gene-040419-1	per1b	ensdarg00000012499	uberon_2000633
zdb-gene-060503-388	aftphb	ensdarg00000071347	uberon_0005281,uberon_0000480
zdb-gene-060503-838	pgm5	ensdarg00000060745	uberon_0014892,uberon_0004120,uberon_0000479
zdb-gene-100813-1	unm_hu304	not_found	uberon_0004185,uberon_0000489,uberon_0000160,uberon_0004141,uberon_0000948,uberon_0013765
zdb-gene-050913-35	pacsin1b	ensdarg00000042128	uberon_0000477,uberon_0008823,uberon_0000019,uberon_0000480,uberon_0000468,uberon_2000940,uberon_0000948,uberon_0000033
zdb-gene-050913-38	vgll2a	ensdarg00000041706	uberon_0000475,uberon_0011610,uberon_0011607,uberon_0008896,uberon_0003107,uberon_0003103,uberon_0003351,uberon_0004117,uberon_0004752,uberon_0011242
zdb-gene-090313-191	pdzd7a	ensdarg00000076974	uberon_0004121
zdb-gene-041220-2	tfr1b	ensdarg00000077372	uberon_0008823,uberon_0000480,uberon_0000468,uberon_0007812,uberon_0001017,uberon_0001016,uberon_0002100
zdb-gene-041220-1	tfr1a	ensdarg00000101322	uberon_0000178,uberon_0004120,uberon_0000468
zdb-gene-050222-4	tcf7	ensdarg00000038672	uberon_0008823,uberon_0001891,uberon_0000151,uberon_0003102,uberon_0004120
zdb-gene-050912-2	pmelb	ensdarg00000033760	uberon_0002407
zdb-gene-050302-80	scube2	ensdarg00000037362	uberon_0005598,uberon_2001089,uberon_0000073,uberon_0000468,uberon_0002328,uberon_0005177,uberon_0003079,uberon_0003082,uberon_0007812,uberon_0010313,uberon_0001630,uberon_0003901,uberon_0012275
zdb-gene-070117-1830	unm_t31468	not_found	uberon_0004120
zdb-gene-070117-1831	unm_t31215	not_found	uberon_0004120
zdb-gene-070117-1832	unm_t31090	not_found	uberon_0008823
zdb-gene-070117-1833	unm_t31469	not_found	uberon_0004120
zdb-gene-070117-1834	unm_t31470	not_found	uberon_0004120
zdb-gene-070117-1835	unm_t31471	not_found	uberon_0004120
zdb-gene-070117-1836	unm_t31472	not_found	uberon_0004120
zdb-gene-070117-1837	unm_t31473	not_found	uberon_0004120
zdb-gene-070117-1838	unm_t31512	not_found	uberon_0004120
zdb-gene-070117-1839	unm_t31513	not_found	uberon_0004120
zdb-gene-050522-492	ptbp1a	ensdarg00000019362	uberon_0001213,uberon_0000920,uberon_0000479,uberon_0000478,uberon_2000084,uberon_0000468,uberon_2001076,uberon_0004119,uberon_0013765,uberon_0001630,uberon_0004749
zdb-gene-090313-229	cald1b	ensdarg00000086391	uberon_0001708,uberon_0002133,uberon_0014907,uberon_2001286,uberon_0004573,uberon_0004363,uberon_0002065,uberon_0011944,uberon_0002200,uberon_0002201,uberon_0005805,uberon_0000489,uberon_0002407,uberon_0000480,uberon_0000948,uberon_0002082,uberon_0002081,uberon_0000042,uberon_2005025,uberon_0003473
zdb-gene-070117-1045	unm_t30562	not_found	uberon_0004120
zdb-gene-040801-90	dnajb1a	ensdarg00000099383	uberon_0000965,uberon_0000479,uberon_0000489,uberon_0000019
zdb-gene-110410-1	unm_tku3	not_found	uberon_0000479,uberon_0002328
zdb-gene-060626-1	topbp1	ensdarg00000059322	uberon_0001843
zdb-gene-030131-2670	klc2	ensdarg00000099740	uberon_0007812,uberon_0000468
zdb-gene-150915-1	scarna1	not_found	uberon_2000088,uberon_0000489,uberon_0000042,uberon_0000948,uberon_0007812,uberon_2000106,uberon_0002407
zdb-gene-050522-228	fcho2	ensdarg00000035389	uberon_2001069,uberon_0012275,uberon_0005598,uberon_0002328
zdb-gene-070117-611	unm_m783	not_found	uberon_0010313
zdb-gene-070117-340	unm_tv59z	not_found	uberon_0010314,uberon_0001945
zdb-gene-050208-41	dchs1b	ensdarg00000079850	uberon_0004749,uberon_0000061,uberon_2000084
zdb-gene-070117-341	unm_tt254b	not_found	uberon_0000467,uberon_0001774,uberon_0000480,uberon_0003082,uberon_0000479,uberon_0000468,uberon_0004479,uberon_0004120
zdb-gene-070117-1906	unm_t31254	not_found	uberon_0000467,uberon_0000480,uberon_0001434,uberon_0010323
zdb-gene-070117-346	unm_tc31	not_found	uberon_0000489,uberon_0000019,uberon_0000480,uberon_0000468,uberon_0001945,uberon_0000033,uberon_0002037,uberon_0001016
zdb-gene-070117-347	unm_tl205	not_found	uberon_0000477,uberon_0000491,uberon_0000480,uberon_0005886,uberon_0008895,uberon_0000033,uberon_0004120,uberon_0002107,uberon_0010313,uberon_0005057
zdb-gene-040718-419	cryabb	ensdarg00000101380	uberon_0000489,uberon_0000042,uberon_0002407,uberon_0000948,uberon_0014892,uberon_0000479,uberon_0000468,uberon_0002081,uberon_0002082,uberon_0002100
zdb-gene-070117-1046	unm_t30849	not_found	uberon_0004120
zdb-gene-070117-344	unm_m742	not_found	uberon_0007812,uberon_0000468
